"","url","name","city","checkInDate","checkOutDate","price","totalPrice","numOfReviews","ratingAverage","ratingAccuracy","ratingCommunication","ratingCleanliness","ratingLocation","ratingCheckIn","ratingValue","capacityRoomType","capacityNumGuests","capacityNumBedrooms","capacityNumBeds","amenitiesParking","amenitiesPets","amenitiesFireplace","amenitiesSmoking","amenitiesPool","amenitiesHangers","amenitiesBreakfast","amenitiesInternet","amenitiesElevator","amenitiesKitchen","amenitiesFamily","amenitiesAccessible","amenitiesWifi","amenitiesEvents","amenitiesDryer","amenitiesDesktop","amenitiesHottub","amenitiesHeating","amenitiesLaptop","amenitiesDoorman","amenitiesGym","amenitiesIron","amenitiesHairdryer","amenitiesWasher","amenitiesEssentials","amenitiesShampoo","amenitiesTv","amenitiesAc"
"25","/rooms/9079180?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","listing_id: Tak Shing Resort House 5B3","Hong-Kong","2017-05-01","2017-05-02","482","544","43","4","4","4.5","3.5","4","4.5","4","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"26","/rooms/7964582?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Fortune Inn Double bed Room 19 <U+6E29>馨大床房","Hong-Kong","2017-05-01","2017-05-02","436","490","74","4","4","4.5","4.5","5","4.5","4","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
"27","/rooms/15847953?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Quiet private room in town","Hong-Kong","2017-05-01","2017-05-02","397","444","21","4.5","4.5","4.5","4","4.5","4.5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1
"28","/rooms/11853093?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","MK MTR:Family Hotel for 3 pax","Hong-Kong","2017-05-01","2017-05-02","576","646","21","4.5","4.5","5","5","5","5","4.5","Private room","3 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"29","/rooms/14263840?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Theatre Renovated Balcony 3mins MTR Wan Chai HKCEC","Hong-Kong","2017-05-01","2017-05-02","763","1198","44","5","5","5","5","5","5","4.5","Entire home/apt","6 Guests","1 Bedroom","3 Beds",0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"30","/rooms/15463067?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Female Dorm 女生床位宿舍 (2)","Hong-Kong","2017-05-01","2017-05-02","202","225","18","4.5","4.5","5","4.5","5","5","5","Shared room","1 Guest","4 Beds",NA,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
"31","/rooms/17465218?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","well-equipped 2 single beds near MTR *2","Hong-Kong","2017-05-01","2017-05-02","218","241","4","4.5","4.5","4.5","4.5","4.5","4.5","4.5","Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"32","/rooms/3406472?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Budget room for 3 persons in mk","Hong-Kong","2017-05-01","2017-05-02","303","397","68","4","4.5","4.5","4","4.5","4.5","4.5","Private room","4 Guests","1 Bedroom","2 Beds",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"33","/rooms/17288490?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","2BR - Wan chai - Best location, great nightlife","Hong-Kong","2017-05-01","2017-05-02","654","1012","15","5","4.5","4.5","4.5","4.5","5","4.5","Entire home/apt","4 Guests","2 Bedrooms","2 Beds",0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
"34","/rooms/13830298?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Single room (shared bathroom) (2) 單人房","Hong-Kong","2017-05-01","2017-05-02","241","272","35","4.5","4.5","5","4.5","4.5","5","4.5","Private room","1 Guest","1 Bedroom","1 Bed",0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"35","/rooms/11232440?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","SERVICED 2BR!+ ROOF GARDEN","Hong-Kong","2017-05-01","2017-05-02","1860","2475","53","5","5","5","5","5","5","4.5","Entire home/apt","4 Guests","2 Bedrooms","2 Beds",0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"36","/rooms/4347541?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Spacious & Stylish 2BR Apt @MTR","Hong-Kong","2017-05-01","2017-05-02","1323","1642","84","4.5","4.5","4.5","4","4.5","4.5","4.5","Entire home/apt","8 Guests","2 Bedrooms","4 Beds",0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
"37","/rooms/7368664?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Colourfu & Cozy Big 3BR @Jordan MTR","Hong-Kong","2017-05-01","2017-05-02","599","1011","73","4.5","4.5","4.5","4.5","5","4.5","4.5","Entire home/apt","16 Guests","3 Bedrooms","5 Beds",0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1
"38","/rooms/9760574?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","cozy studio for 2 in mong kok c","Hong-Kong","2017-05-01","2017-05-02","303","381","34","4.5","4.5","4.5","4.5","5","4.5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
"39","/rooms/9760574?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","cozy studio for 2 in mong kok c","Hong-Kong","2017-05-01","2017-05-02","303","381","34","4.5","4.5","4.5","4.5","5","4.5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
"40","/rooms/6146824?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Double Room With Private Bathroom","Hong-Kong","2017-05-01","2017-05-02","996","1120","41","4","4","4","4.5","4.5","4","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"41","/rooms/6742072?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Yau Ma Tei 4 beds family private","Hong-Kong","2017-05-01","2017-05-02","451","645","75","4.5","4.5","4.5","4","4.5","4.5","4.5","Private room","5 Guests","1 Bedroom","4 Beds",0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
"42","/rooms/4982901?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","4BR , Big Group@ Wanchai MTR","Hong-Kong","2017-05-01","2017-05-02","778","1213","64","4.5","4.5","4.5","4.5","4.5","4.5","4.5","Entire home/apt","12 Guests","4 Bedrooms","5 Beds",0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
"43","/rooms/7375177?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Budget 3 room apt for 6 pax, 2A","Hong-Kong","2017-05-01","2017-05-02","747","840","51","4","4","4","4","4.5","4.5","4.5","Entire home/apt","6 Guests","3 Bedrooms","3 Beds",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"44","/rooms/6349168?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Comfy Twin bed room- 2 Min to MTR","Hong-Kong","2017-05-01","2017-05-02","529","591","23","4.5","4.5","4.5","4.5","4.5","4.5","4.5","Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"45","/rooms/16196037?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","2BRs Budget Cozy, Next HKCEC, Wanchai 5min MTR","Hong-Kong","2017-05-01","2017-05-02","1097","1571","12","4.5","4.5","4.5","4.5","5","4.5","4.5","Entire home/apt","6 Guests","2 Bedrooms","3 Beds",0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
"46","/rooms/7737594?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","A-尖沙咀繁<U+534E>地段<U+53CC>床房(距离地<U+94C1>2分<U+949F>)","Hong-Kong","2017-05-01","2017-05-02","568","638","25","4","4.5","4.5","4.5","5","4.5","4.5","Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"47","/rooms/13049703?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Soho Central available accept longterm+Rooftop","Hong-Kong","2017-05-01","2017-05-02","373","420","15","4","4","4.5","3.5","4.5","4.5","4","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
"48","/rooms/17971825?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","5A Luxury 1 Bedroom apartment in Wanchai 豪華一房公寓","Hong-Kong","2017-05-01","2017-05-02","903","1128",NA,NA,NA,NA,NA,NA,NA,NA,"Entire home/apt","3 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1
"49","/rooms/16143720?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Causeway Bay TimesSquare Artistic <U+94DC><U+9523><U+6E7E><U+65F6>代<U+5E7F><U+573A>Elephant","Hong-Kong","2017-05-01","2017-05-02","451","560","17","4.5","4.5","4.5","4.5","5","5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1
"50","/rooms/18155907?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Private Single Room at Heart of Hong Kong","Hong-Kong","2017-05-01","2017-05-02","249","327",NA,NA,NA,NA,NA,NA,NA,NA,"Private room","1 Guest","1 Bedroom","1 Bed",0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
"51","/rooms/17754355?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Spacious private room with Balcony","Hong-Kong","2017-05-01","2017-05-02","444","498","2",NA,NA,NA,NA,NA,NA,NA,"Private room","4 Guests","1 Bedroom","1 Bed",0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"52","/rooms/17909749?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Yau Ma Tei whole cosy apartment w/Lift,5min to MTR","Hong-Kong","2017-05-01","2017-05-02","646","949","3","4.5","5","5","4.5","5","5","5","Entire home/apt","5 Guests","1 Bedroom","3 Beds",0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1
"53","/rooms/6349168?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Comfy Twin bed room- 2 Min to MTR","Hong-Kong","2017-05-01","2017-05-02","529","591","23","4.5","4.5","4.5","4.5","4.5","4.5","4.5","Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"54","/rooms/17562730?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Apartment with Terrace at Sheung Wan Central","Hong-Kong","2017-05-01","2017-05-02","552","786",NA,NA,NA,NA,NA,NA,NA,NA,"Entire home/apt","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
"55","/rooms/8111268?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","N383D-Cozy studio YMT MTR+Kitchen","Hong-Kong","2017-05-01","2017-05-02","405","506","29","4","4.5","4.5","4","4.5","4.5","4.5","Entire home/apt","2 Guests","Studio","1 Bed",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
