"","url","name","city","checkInDate","checkOutDate","price_2017.04.15","totalPrice_2017.04.15","price_2017-04-16","totalPrice_2017-04-16"
"57","/rooms/18143378?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Double Rm, 1 min To Transports, Speaks Eng/Kor/Chn","Hong-Kong","5/1/17","5/2/17",319,358,"342","381"
"58","/rooms/3853127?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Room in a modern apt, in cool spot","Hong-Kong","5/1/17","5/2/17",599,669,"599","669"
"59","/rooms/13643748?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cozy Room for 2! 3min to MTR, 12min to Railway","Hong-Kong","5/1/17","5/2/17",451,575,"451","575"
"60","/rooms/11024580?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hung Hom - Standard Suite 3BR for 2-5 - 32A","Hong-Kong","5/1/17","5/2/17",700,1127,"700","1127"
"61","/rooms/16421713?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Warm Couch in Hotel Apartment 温暖的酒店式公寓-独立客厅(沙发床)","Hong-Kong","5/1/17","5/2/17",288,366,"288","366"
"62","/rooms/18048058?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Lux High Flr,Incredible HB view, mins from TST MTR","Hong-Kong","5/1/17","5/2/17",1104,1633,NA,NA
"63","/rooms/5587724?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Bed (5),4 beds female room女生房,CAlvin-3 Mins to MTR","Hong-Kong","5/1/17","5/2/17",109,125,"109","125"
"64","/rooms/13523745?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Great en-suite bedroom in the heart of Hong Kong","Hong-Kong","5/1/17","5/2/17",575,762,"575","762"
"65","/rooms/8035956?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Central room for 4 near MTR #9","Hong-Kong","5/1/17","5/2/17",497,559,"497","559"
"66","/rooms/18147387?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Nice Double bedroom","Hong-Kong","5/1/17","5/2/17",303,342,"303","342"
"67","/rooms/16143720?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Causeway Bay TimesSquare Artistic 铜锣湾时代广场Elephant","Hong-Kong","5/1/17","5/2/17",60,74,"451","560"
"68","/rooms/14735777?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Stanley Oriental Hotel","Hong-Kong","5/1/17","5/2/17",2557,2868,"2557","2868"
"69","/rooms/15558322?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Fortune Inn Twin Bed Room 17精品雙床房","Hong-Kong","5/1/17","5/2/17",529,591,"529","591"
"70","/rooms/16475008?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","HKJL-4 New! Mong kok,Comfy room,private bath,AC","Hong-Kong","5/1/17","5/2/17",420,575,"420","575"
"71","/rooms/12483772?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Claudia&Mirko's home","Hong-Kong","5/1/17","5/2/17",497,606,"497","606"
"72","/rooms/17262709?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","0_Chic Home - 2BR at Tsim Sha Tsui 尖沙咀- 2睡房溫馨現代簡約房","Hong-Kong","5/1/17","5/2/17",979,1096,"979","1096"
"73","/rooms/3536354?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Little Germany :)","Hong-Kong","5/1/17","5/2/17",218,241,"218","241"
"74","/rooms/10950729?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mixed Dorm Room (男女混合宿舍) (3)","Hong-Kong","5/1/17","5/2/17",225,256,"225","256"
"75","/rooms/8768929?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Premier Room #2 TST Nathan Rd","Hong-Kong","5/1/17","5/2/17",723,809,NA,"809"
"76","/rooms/6146824?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Double Room With Private Bathroom","Hong-Kong","5/1/17","5/2/17",1003,1127,"1003","1127"
"77","/rooms/13022684?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","A-Mong Kok, convenient,Family room","Hong-Kong","5/1/17","5/2/17",793,886,"793","886"
"78","/rooms/6257723?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hostels,for 4@MTR for 3 mins","Hong-Kong","5/1/17","5/2/17",785,1050,"785","1050"
"79","/rooms/6518197?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cosmic Guest House-Deluxe 2 Dbl Bed (Windows)","Hong-Kong","5/1/17","5/2/17",707,NA,"707",NA
"80","/rooms/17546397?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","NEW: Flat in the center of the center - WAN CHAI","Hong-Kong","5/1/17","5/2/17",1796,2356,"1796","2356"
"81","/rooms/15734826?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Full HarbourView LargeEnsuite Room","Hong-Kong","5/1/17","5/2/17",731,910,"731","910"
"82","/rooms/7598871?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Full Apartment in the heart of CWB!","Hong-Kong","5/1/17","5/2/17",653,933,"599","871"
"83","/rooms/15425248?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Comfortable Budget Stay in Mid-Levels, Hong Kong","Hong-Kong","5/1/17","5/2/17",187,257,"187","257"
"84","/rooms/14263840?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Theatre Renovated Balcony 3mins MTR Wan Chai HKCEC","Hong-Kong","5/1/17","5/2/17",762,1197,"762","1197"
"85","/rooms/16424765?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Causeway Bay TimesSquare Artistic 铜锣湾时代广场卧房 Chick","Hong-Kong","5/1/17","5/2/17",451,560,"451","560"
"86","/rooms/2796097?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Y1. Mongkok Area,near Metro,Langham","Hong-Kong","5/1/17","5/2/17",801,902,"801","902"
"87","/rooms/6742072?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Yau Ma Tei 4 beds family private","Hong-Kong","5/1/17","5/2/17",451,645,"451","645"
"88","/rooms/11630153?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Heart of Hong Kong 2-Bdr LARGE Belcony MRT 3A","Hong-Kong","5/1/17","5/2/17",1003,1477,"925","1384"
"89","/rooms/9864861?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Triple Room (3 Pax) Near MTR (Private Bathroom)","Hong-Kong","5/1/17","5/2/17",715,801,"715","801"
"90","/rooms/16145200?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Causeway Bay TimesSquare Artistic 铜锣湾时代广场卧房 Pony","Hong-Kong","5/1/17","5/2/17",451,560,"451","560"
"91","/rooms/18028135?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","[J-D] Private room, double bed, 1-2pls, homy","Hong-Kong","5/1/17","5/2/17",350,505,NA,NA
"92","/rooms/15698386?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","SLEEEP - Minimalist Capsule Hotel in Sheung Wan","Hong-Kong","5/1/17","5/2/17",599,669,NA,"669"
"93","/rooms/8638529?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","1 bed in male dorm [Jordan]","Hong-Kong","5/1/17","5/2/17",155,217,NA,NA
"94","/rooms/3853127?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Room in a modern apt, in cool spot","Hong-Kong","5/1/17","5/2/17",NA,NA,"599","669"
"95","/rooms/10300238?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Jordan Big 2BR Near Airport busstop","Hong-Kong","5/1/17","5/2/17",894,NA,"894",NA
"96","/rooms/11024580?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hung Hom - Standard Suite 3BR for 2-5 - 32A","Hong-Kong","5/1/17","5/2/17",700,1127,"700","1127"
"97","/rooms/11721276?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","最靠近尖沙咀地鐵三人帶獨立衛浴套房","Hong-Kong","5/1/17","5/2/17",544,614,"544","614"
"98","/rooms/18048058?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Lux High Flr,Incredible HB view, mins from TST MTR","Hong-Kong","5/1/17","5/2/17",1104,1633,"1104",NA
"99","/rooms/16456107?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","HKJL-1 new! Mong kok,Comfy room with private bath","Hong-Kong","5/1/17","5/2/17",389,544,"389","544"
"100","/rooms/13523745?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Great en-suite bedroom in the heart of Hong Kong","Hong-Kong","5/1/17","5/2/17",575,762,"575","762"
"101","/rooms/8134613?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cozy private room in HK Island","Hong-Kong","5/1/17","5/2/17",342,381,"342","381"
"102","/rooms/18147387?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Nice Double bedroom","Hong-Kong","5/1/17","5/2/17",303,342,"303","342"
"103","/rooms/10234023?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mong Kok MTR+Tidy Quad room&My","Hong-Kong","5/1/17","5/2/17",NA,NA,NA,"497"
"104","/rooms/14735777?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Stanley Oriental Hotel","Hong-Kong","5/1/17","5/2/17",2557,2868,"2557","2868"
"105","/rooms/15066116?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Sheung Wan Central Cozy Bedroom!","Hong-Kong","5/1/17","5/2/17",521,794,"521","794"
"106","/rooms/16475008?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","HKJL-4 New! Mong kok,Comfy room,private bath,AC","Hong-Kong","5/1/17","5/2/17",420,575,"420","575"
"107","/rooms/17721140?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","近旺角地铁站E1出口 溫馨双床 独立洗手间 WIFI 电视 空调","Hong-Kong","5/1/17","5/2/17",358,405,"358",NA
"108","/rooms/17262709?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","0_Chic Home - 2BR at Tsim Sha Tsui 尖沙咀- 2睡房溫馨現代簡約房","Hong-Kong","5/1/17","5/2/17",979,1096,"979","1096"
"109","/rooms/2229877?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Bright & Colourful @ Wanchai MTR","Hong-Kong","5/1/17","5/2/17",894,1345,"894","1345"
"110","/rooms/10950729?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mixed Dorm Room (男女混合宿舍) (3)","Hong-Kong","5/1/17","5/2/17",225,256,NA,"256"
"111","/rooms/15417014?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Bright & Modern Apartment, 2mins to MTR & Bus Stop","Hong-Kong","5/1/17","5/2/17",894,1345,"894","1345"
"112","/rooms/6146824?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Double Room With Private Bathroom","Hong-Kong","5/1/17","5/2/17",1003,1127,"1003","1127"
"113","/rooms/14798336?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Single room (shared bathroom) (5) 單人房","Hong-Kong","5/1/17","5/2/17",396,443,"396","443"
"114","/rooms/6257723?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hostels,for 4@MTR for 3 mins","Hong-Kong","5/1/17","5/2/17",785,1050,"785","1050"
"115","/rooms/14798631?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Dorm with bunkbeds (shared room)","Hong-Kong","5/1/17","5/2/17",187,210,"187","210"
"116","/rooms/17546397?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","NEW: Flat in the center of the center - WAN CHAI","Hong-Kong","5/1/17","5/2/17",1796,2356,"1796","2356"
"117","/rooms/17594106?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Brand New Studio 2 mins to Austin MTR station","Hong-Kong","5/1/17","5/2/17",754,1127,NA,"1127"
"118","/rooms/7598871?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Full Apartment in the heart of CWB!","Hong-Kong","5/1/17","5/2/17",653,933,NA,"871"
"119","/rooms/18148266?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cosy double bedroom in a stylish flat, Sheung Wan","Hong-Kong","5/1/17","5/2/17",358,405,NA,NA
