"","url","name","city","checkInDate","checkOutDate"
"174",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"175",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"176",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"177",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"178",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"179",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"180",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"181",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"182",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"183",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"184",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"185",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"186",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"187",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"188",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"189",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"190",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"191",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"192",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"193",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"194",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"195",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"196",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"197",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"198",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"199",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"200",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"201",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"202",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"203",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"204",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"205",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"206",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"207",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"208",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"209",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"210",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"211",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"212",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"213",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"214",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"215",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"216",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"217",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"218",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"219",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"220",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"221",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"222",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"223",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"224",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"225",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"226",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"227",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"228",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"229",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"230",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"231",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"232",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"233",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"234",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"235",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"236",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"237",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"238",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"239",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"240",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"241",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"242",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"243",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"244",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"245",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"246",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"247",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"248",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"249",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"250",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"251",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"252",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"253",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"254",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"255",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"256",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"257",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"258",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"259",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"260",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"261",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
"262",NA,NA,"Shanghai--China","2017-05-01","2017-05-02"
